340,406	-48,10677
340,786	-48,10677
341,167	-48,10677
341,547	32,18909
341,927	-3,80561
342,307	-25,91731
342,688	-100,76863
343,068	18,33224
343,448	95,84222
343,828	23,87908
344,208	134,48814
344,588	92,92508
344,968	-14,84757
345,348	-75,63094
345,728	70,76829
346,108	43,11082
346,487	-111,57337
346,867	-3,79266
347,247	-89,38166
347,627	-25,82413
348,006	-31,33816
348,386	-3,78616
348,765	-97,43301
349,145	40,26894
349,524	51,24023
349,904	15,47324
350,283	34,73331
350,663	59,46145
351,042	23,72257
351,421	62,19668
351,801	-47,72988
352,18	-34,02005
352,559	-130,12124
352,938	-28,49398
353,317	23,71645
353,696	18,19823
354,075	23,71033
354,454	37,37953
354,833	42,93912
355,212	42,90601
355,591	-36,73415
355,97	26,43825
356,348	23,68959
356,727	9,95931
357,106	12,69334
357,485	67,6008
357,863	-14,76308
358,242	152,72209
358,62	1,71567
358,999	64,84062
359,377	-6,5167
359,756	89,5625
360,134	103,27533
360,512	-22,99408
360,891	-75,21194
361,269	-6,51937
361,647	-28,48228
362,025	-64,21875
362,403	59,41246
362,781	108,87126
363,16	4,46475
363,538	86,87305
363,916	-17,50206
364,293	89,60851
364,671	4,46291
365,049	64,8739
365,427	26,44233
365,805	-69,74931
366,183	-17,51465
366,56	-22,99762
366,938	7,21507
367,316	26,42468
367,693	18,21886
368,071	40,16931
368,448	7,20914
368,826	-47,72252
369,203	18,19916
369,58	100,63122
369,958	18,21322
370,335	-47,74707
370,712	56,65195
371,089	51,17158
371,467	48,41291
371,844	89,71007
372,221	23,6969
372,598	64,88723
372,975	29,17085
373,352	128,19319
373,729	-55,93796
374,106	-39,50806
374,483	40,17344
374,859	111,68494
375,236	-91,69676
375,613	-58,69995
375,99	48,40793
376,366	-36,7266
376,743	9,96341
377,119	95,13599
377,496	7,20988
377,872	-20,25424
378,249	95,14579
378,625	62,18066
379,002	-14,75777
379,378	-47,70047
379,754	64,86058
380,131	40,16519
380,507	67,68078
380,883	62,13589
381,259	-42,25318
381,635	56,56488
382,011	40,16725
382,387	-12,00814
382,763	7,21173
383,139	37,42365
383,515	-33,97982
383,891	-69,68117
384,267	97,91133
384,642	62,16146
385,018	-1,02943
385,394	-61,53005
385,77	51,1558
386,145	37,45063
386,521	62,12632
386,896	-3,77486
387,272	34,67251
387,647	-69,67044
388,023	26,43553
388,398	29,17983
